Shape_Area,ADM2_ES,ADM2_PCODE,min_prec_2009_01,max_prec_2009_01,mean_prec_2009_01,std_prec_2009_01,min_prec_2009_02,max_prec_2009_02,mean_prec_2009_02,std_prec_2009_02,min_prec_2009_03,max_prec_2009_03,mean_prec_2009_03,std_prec_2009_03,min_prec_2009_04,max_prec_2009_04,mean_prec_2009_04,std_prec_2009_04,min_prec_2009_05,max_prec_2009_05,mean_prec_2009_05,std_prec_2009_05,min_prec_2009_06,max_prec_2009_06,mean_prec_2009_06,std_prec_2009_06,min_prec_2009_07,max_prec_2009_07,mean_prec_2009_07,std_prec_2009_07,min_prec_2009_08,max_prec_2009_08,mean_prec_2009_08,std_prec_2009_08,min_prec_2009_09,max_prec_2009_09,mean_prec_2009_09,std_prec_2009_09,min_prec_2009_10,max_prec_2009_10,mean_prec_2009_10,std_prec_2009_10,min_prec_2009_11,max_prec_2009_11,mean_prec_2009_11,std_prec_2009_11,min_prec_2009_12,max_prec_2009_12,mean_prec_2009_12,std_prec_2009_12,year
0.0448450779619,San Pedro Lagunillas,MX18013,4.977,6.05,5.508,0.3127,4.633,5.547,4.945,0.2328,3.549,4.77,4.293,0.3293,2.324,3.79,3.182,0.3984,2.412,5.258,3.553,0.696,152.5,185.2,172.8,9.09,186.1,216.2,200.2,8.72,183.2,229.4,203.5,12.44,209.6,328.2,267.2,32.4,54.6,80.1,64.4,7.684,4.277,6.363,5.26,0.6133,11.57,16.72,13.914,1.521,2009
0.000642179737457,San Pedro Mártir,MX20315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0102409804156,San Pedro Mártir Quiechapa,MX20316,1.366,5.707,2.979,1.678,3.58,10.64,7.297,2.902,1.311,2.873,1.765,0.6436,12.64,19.48,16.45,2.932,53.78,72.0,62.84,7.324,112.94,139.1,123.1,10.59,58.22,88.3,70.1,11.25,52.0,76.7,62.2,9.03,84.9,132.2,102.4,18.25,60.1,96.44,83.44,14.75,2.158,6.086,3.504,1.597,4.652,12.22,7.3,2.92,2009
0.00696486910837,San Pedro Mártir Yucuxaco,MX20317,7.98,11.74,10.01,1.707,4.656,6.523,5.55,0.851,3.914,6.027,5.023,0.7603,18.89,33.84,27.47,6.2,106.4,115.75,110.8,4.438,150.0,168.4,160.2,6.74,95.75,114.56,106.0,6.727,159.0,186.9,174.2,11.77,122.9,163.5,148.1,15.62,85.06,102.56,93.94,6.305,17.62,22.83,20.95,2.105,20.23,28.73,24.03,3.346,2009
0.0274065860933,San Pedro Mixtepec -Dto. 22 -,MX20318,1.564,4.895,2.76,0.8486,2.889,7.7,4.332,1.347,2.39,7.418,5.97,1.666,3.578,11.586,8.34,2.393,93.1,126.06,114.3,8.94,107.7,223.0,166.0,33.06,63.6,111.75,79.7,13.03,111.56,165.8,137.2,16.14,139.2,252.6,193.5,31.38,155.5,336.5,270.8,55.9,13.266,29.56,21.25,4.68,0.9165,5.312,2.6,1.453,2009
0.0130701756799,San Pedro Mixtepec -Dto. 26 -,MX20319,16.22,26.72,21.02,3.586,16.0,31.77,24.81,5.67,3.729,10.18,6.688,2.893,23.62,31.36,26.86,2.688,146.4,195.5,175.0,16.3,222.2,251.2,240.0,9.66,175.8,227.5,201.9,16.67,156.5,191.4,170.4,11.93,238.1,266.8,251.9,10.67,155.1,207.8,174.8,18.95,27.52,45.78,36.9,5.805,23.86,39.84,32.44,5.902,2009
0.002241206262,San Pedro Molinos,MX20320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00934074663384,San Pedro Nopala,MX20321,9.42,11.59,10.33,0.825,2.27,3.664,3.068,0.5723,6.258,8.51,7.277,0.804,26.12,31.86,28.89,2.092,106.25,120.75,115.4,5.83,116.56,125.3,120.6,3.406,75.0,80.6,77.44,2.133,92.0,107.75,100.6,5.715,141.9,164.4,151.2,9.086,75.0,85.9,81.75,4.465,7.17,15.945,12.18,3.398,15.836,19.16,17.55,1.185,2009
0.000563430062182,San Pedro Ocopetatillo,MX20322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00357237706221,San Pedro Ocotepec,MX20323,25.1,32.47,28.78,3.684,22.9,24.14,23.53,0.614,17.84,20.03,18.94,1.095,48.2,48.62,48.4,0.2172,116.94,123.7,120.3,3.4,306.5,322.8,314.5,8.11,274.0,292.2,283.2,9.125,199.8,204.6,202.1,2.416,477.5,499.2,488.5,10.89,140.1,155.0,147.6,7.45,44.5,50.66,47.56,3.08,44.16,52.0,48.1,3.928,2009
0.0374462566573,San Pedro Pochutla,MX20324,1.487,3.123,2.053,0.5,1.051,6.875,3.438,1.696,1.679,8.37,4.023,1.941,2.693,11.04,6.305,2.818,39.8,119.7,80.75,21.25,162.0,228.1,191.6,21.83,76.9,109.25,88.4,10.09,97.44,141.1,107.9,11.266,174.2,223.2,196.2,13.914,96.5,221.9,154.8,39.84,4.86,17.6,10.875,3.11,2.572,13.805,5.293,2.654,2009
0.0478126642263,San Pedro Quiatoni,MX20325,1.688,11.73,5.754,3.139,1.772,13.99,6.69,3.885,2.547,10.445,6.566,2.525,8.09,36.9,20.27,9.125,39.97,97.25,69.0,15.26,99.9,198.2,136.6,30.83,63.47,165.4,106.0,33.03,43.84,111.7,68.1,18.86,135.4,307.0,203.2,54.12,42.38,90.2,59.44,12.2,1.481,32.22,11.35,9.46,5.58,27.53,12.71,6.562,2009
0.0129740632331,San Pedro Sochiápam,MX20326,47.4,55.06,52.34,2.615,54.53,68.8,62.16,4.938,25.48,35.44,29.02,3.748,46.6,51.03,49.03,1.781,107.7,147.9,130.9,14.164,305.8,369.5,339.5,21.55,380.5,483.5,440.2,33.44,299.0,394.5,342.0,32.8,750.0,844.5,805.0,34.78,222.9,319.5,260.8,32.72,76.5,92.56,85.44,5.6,128.1,139.0,132.4,4.246,2009
0.0623767948315,San Pedro Tapanatepec,MX20327,1.422,14.31,4.277,2.89,4.406,13.984,7.56,2.137,0.8247,9.47,4.52,2.537,23.12,51.84,34.78,7.086,154.8,222.2,181.0,17.14,305.2,366.0,330.0,15.164,192.6,401.8,291.8,49.94,187.1,332.5,259.8,39.22,326.0,391.0,353.8,15.43,143.9,252.2,189.9,27.0,9.45,33.16,18.56,6.004,0.55,8.21,3.686,2.242,2009
0.00833385201161,San Pedro Taviche,MX20328,3.27,8.414,5.79,2.102,4.344,7.953,5.652,1.634,1.8,3.326,2.568,0.6235,32.0,42.62,35.8,4.836,98.0,140.6,116.94,17.75,102.6,136.1,114.6,15.266,75.3,122.3,98.94,19.19,71.56,95.5,83.4,9.75,134.0,202.9,163.5,28.97,61.88,87.44,74.06,10.45,7.37,15.98,11.516,3.521,10.72,18.89,14.54,3.361,2009
0.00789147390056,San Pedro Teozacoalco,MX20329,10.12,10.6,10.36,0.2413,3.355,3.873,3.613,0.2593,3.658,3.898,3.777,0.12085,20.69,21.3,20.98,0.3005,120.3,124.1,122.25,1.914,199.1,205.0,202.1,2.947,139.9,143.9,141.9,2.025,182.5,199.6,191.0,8.54,157.9,167.9,162.9,5.0,101.5,110.6,106.06,4.57,9.62,10.75,10.19,0.564,16.52,18.58,17.55,1.032,2009
0.0126822907253,San Pedro Teutila,MX20330,46.3,92.6,64.56,15.445,51.6,103.75,81.2,19.33,27.67,71.7,47.16,14.695,51.6,74.3,60.62,7.707,127.1,147.0,137.4,6.945,336.0,427.0,379.0,34.97,510.5,639.0,576.0,52.22,349.5,518.0,445.0,63.4,715.5,979.5,847.0,91.56,289.5,424.0,345.8,46.66,69.2,114.75,92.44,16.23,119.4,188.5,161.2,22.1,2009
0.00390563855025,San Pedro Tidaá,MX20331,9.836,18.7,14.266,4.434,2.797,5.406,4.1,1.305,6.797,6.992,6.895,0.0992,21.16,23.53,22.34,1.193,94.56,115.4,104.94,10.4,156.9,178.0,167.4,10.56,92.6,112.0,102.3,9.7,134.6,151.4,143.0,8.34,103.9,151.2,127.56,23.67,80.0,96.56,88.3,8.29,13.32,21.78,17.55,4.23,15.83,18.53,17.19,1.354,2009
0.00279197518368,San Pedro Topiltepec,MX20332,23.81,23.81,23.81,0.0,5.508,5.508,5.508,0.0,6.363,6.363,6.363,0.0,31.06,31.06,31.06,0.0,113.5,113.5,113.5,0.0,162.0,162.0,162.0,0.0,113.5,113.5,113.5,0.0,150.0,150.0,150.0,0.0,172.1,172.1,172.1,0.0,105.06,105.06,105.06,0.0,31.95,31.95,31.95,0.0,30.83,30.83,30.83,0.0,2009
0.0340336143074,San Pedro Totolápam,MX20333,1.578,4.6,2.729,1.044,1.323,4.742,2.766,1.015,1.063,2.746,1.894,0.507,11.12,29.47,18.14,5.12,47.97,82.75,61.7,8.39,84.9,108.9,97.75,8.01,57.5,86.94,70.5,8.87,43.1,64.25,51.5,6.71,90.6,160.0,118.3,20.44,38.44,62.7,49.62,7.047,1.759,7.258,4.215,1.671,4.47,10.586,7.117,1.851,2009
0.0145696736428,San Pedro y San Pablo Ayutla,MX20337,6.426,14.49,10.64,2.658,8.234,40.56,26.97,11.38,5.44,20.08,14.44,4.41,29.84,62.84,51.9,10.055,75.7,116.44,95.75,13.57,154.1,239.1,200.5,23.61,106.3,204.9,156.1,27.69,80.6,147.5,117.75,20.62,206.4,391.0,313.8,54.97,78.1,118.94,95.8,13.375,10.21,36.47,25.45,7.312,10.805,30.92,22.25,6.527,2009
0.0152112319048,San Pedro y San Pablo Teposcolula,MX20339,9.05,14.805,11.73,2.146,3.879,7.527,5.25,1.037,3.662,5.91,5.06,0.77,28.61,36.75,33.75,3.08,106.94,122.06,115.56,4.598,137.1,167.2,147.1,9.67,86.75,117.3,98.6,9.07,118.7,173.4,135.8,16.92,117.9,162.5,134.2,13.02,80.3,104.8,90.6,7.926,16.78,25.58,20.39,2.705,24.27,32.56,26.42,2.81,2009
